""	"OBJECTID"	"ULAND"	"UREGBEZ"	"UKREIS"	"UGEMEINDE"	"UJAHR"	"UMONAT"	"USTUNDE"	"UWOCHENTAG"	"UKATEGORIE"	"UART"	"UTYP1"	"ULICHTVERH"	"IstRad"	"IstPKW"	"IstFuss"	"IstKrad"	"IstGkfz"	"IstSonstig"	"LINREFX"	"LINREFY"	"XGCSWGS84"	"YGCSWGS84"	"STRZUSTAND"	"geometry"
"4885"	202267	"11"	"0"	"01"	"001"	"2019"	"12"	"16"	"3"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	799131.139218	5827129.00362	13.408894759	52.512019161	"0"	c(799131.139218136, 5827129.00361555, 0.00890000000072177)
"4886"	202270	"11"	"0"	"04"	"004"	"2019"	"12"	"15"	"2"	"3"	"5"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	791761.894756	5826439.52377	13.300011594	52.509829835	"1"	c(791761.894755734, 5826439.52377266, 0.00740000000223517)
"4887"	202274	"11"	"0"	"01"	"001"	"2019"	"12"	"13"	"2"	"3"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	798951.111944	5828949.2165	13.407885721	52.528433435	"0"	c(798951.111944463, 5828949.21650337, 1.41049999999814)
"4888"	202276	"11"	"0"	"10"	"010"	"2019"	"12"	"10"	"3"	"2"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	806554.69549	5830221.09157	13.520795167	52.535609924	"0"	c(806554.695490306, 5830221.09157436, 3.02899999999499)
"4889"	202280	"11"	"0"	"07"	"007"	"2019"	"12"	"15"	"3"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	794934.483698	5824320.3116	13.344747437	52.489126508	"0"	c(794934.483698289, 5824320.31160335, 0.954899999996996)
"4890"	202283	"11"	"0"	"07"	"007"	"2019"	"12"	"15"	"3"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	799931.250939	5814007.69297	13.408865369	52.393966082	"0"	c(799931.250939445, 5814007.6929741, 0.28190000000177)
"4891"	202284	"11"	"0"	"07"	"007"	"2019"	"12"	"13"	"3"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	799251.720162	5812641.97321	13.397689396	52.382095598	"1"	c(799251.720161614, 5812641.97321491, 0.00719999999273568)
"4892"	202285	"11"	"0"	"02"	"002"	"2019"	"12"	"09"	"2"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	798401.580778	5826418.73187	13.397539513	52.506052104	"0"	c(798401.580778197, 5826418.73187105, 0.0868999999947846)
"4893"	202287	"11"	"0"	"06"	"006"	"2019"	"12"	"13"	"3"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	786768.094312	5817058.02534	13.218567493	52.428365326	"1"	c(786768.094311513, 5817058.02533585, 0.0155999999988126)
"4894"	202288	"11"	"0"	"10"	"010"	"2019"	"12"	"13"	"3"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	811113.23399	5831265.98503	13.588766131	52.542390668	"0"	c(811113.233989763, 5831265.9850267, 0.555099999997765)
