"","id","name","year","AI1303","AI1302","AI1304","AI1305","VER001","VER002","VER005","VER056"
"215",2,"Hamburg",2003,NA,NA,NA,NA,11302,9058,1702,2244
"216",2,"Hamburg",2004,NA,NA,NA,NA,11038,8755,1770,2283
"217",3,"Niedersachsen",1995,113.8,69.1,13.5,703.1,53512,40952,10278,12560
"218",3,"Niedersachsen",2000,95.2,63.2,11.5,673,49973,40184,7990,9789
"219",3,"Niedersachsen",2005,79.1,53.7,8.8,565.3,42946,35047,6298,7899
"220",3,"Niedersachsen",2006,75.5,51.9,7.8,545.7,41440,33961,5953,7479
"221",3,"Niedersachsen",2007,87.4,53.4,7.9,567.4,42596,35036,6086,7560
"222",3,"Niedersachsen",2008,84.9,52.2,7.5,552.9,41562,34318,5820,7244
"223",3,"Niedersachsen",2009,83.1,52,6.8,548.2,41252,33770,6051,7482
"224",3,"Niedersachsen",2010,75.1,47.8,6,495.1,37890,30429,6212,7461
"225",3,"Niedersachsen",2011,74.9,49.6,6.9,524.7,38535,31926,5207,6609
"226",3,"Niedersachsen",2012,74.8,50.2,6.2,534.5,39059,32230,5442,6829
"227",3,"Niedersachsen",2013,71.2,48.5,5.3,518.5,37750,31206,5169,6544
"228",3,"Niedersachsen",2014,73,50.3,5.7,550.3,39296,33011,4890,6285
"229",3,"Niedersachsen",2015,72.5,50.5,5.8,545.2,39743,33247,5106,6496
"230",3,"Niedersachsen",2016,70.2,49.4,5.2,535.1,39171,32724,4968,6447
"231",3,"Niedersachsen",2018,68.1,49.2,5.2,531.2,39233,32944,0,6289
"232",3,"Niedersachsen",2017,NA,49.7,5.1,537,39538,32879,5186,6659
"233",3,"Niedersachsen",1996,NA,NA,NA,NA,51909,39490,10000,12419
"234",3,"Niedersachsen",1997,NA,NA,NA,NA,51427,39881,9229,11546
"235",3,"Niedersachsen",1998,NA,NA,NA,NA,49357,39290,8244,10067
"236",3,"Niedersachsen",1999,NA,NA,NA,NA,50794,41030,8030,9764
"237",3,"Niedersachsen",2001,NA,NA,NA,NA,48921,39236,8042,9685
"238",3,"Niedersachsen",2002,NA,NA,NA,NA,46883,38120,7164,8763
"239",3,"Niedersachsen",2003,NA,NA,NA,NA,44202,36182,6519,8020
"240",3,"Niedersachsen",2004,NA,NA,NA,NA,41723,33885,6393,7838
"241",4,"Bremen",1995,138.2,66.7,5.3,611.3,4538,3438,825,1100
"242",4,"Bremen",2000,125.5,64,3.5,626.5,4233,3463,557,770
"243",4,"Bremen",2005,104.9,53.3,2.4,540.3,3533,3059,335,474
"244",4,"Bremen",2006,108,54.5,2.4,549.9,3622,3097,461,525
"245",4,"Bremen",2007,122.5,55.1,2.9,544.2,3653,3112,462,541
"246",4,"Bremen",2008,123.8,55.9,1.8,568.4,3704,3133,399,571
"247",4,"Bremen",2009,125.7,57.3,2,569.8,3788,3177,410,611
"248",4,"Bremen",2010,107.9,49.9,2,519.7,3296,2861,286,435
"249",4,"Bremen",2011,112.9,53.9,2.3,576.4,3513,3146,178,367
"250",4,"Bremen",2012,115.3,55.5,2.6,603.1,3630,3259,185,371
"251",4,"Bremen",2013,112.6,54.6,1.2,593.7,3580,3232,182,348
